#{"t_start": 1777539009.2851279, "env_id": "None"}
r,l,t
-0.405511,66,4.196498
-0.184703,17,4.198946
-0.119593,12,4.200666
-0.211723,29,4.204722
-0.288022,41,4.210474
-0.186211,17,4.212846
-0.068819,8,4.213962
-0.080606,9,4.215231
-0.100858,7,4.216258
-0.225109,28,4.220213
-0.096674,11,4.221706
-0.192561,26,4.225216
-0.1322,8,4.226332
-0.129483,17,4.22865
-0.343978,58,4.236525
-0.200189,24,4.239775
-0.259555,43,4.612861
-0.177987,31,4.617421
-0.100499,8,4.61875
-0.12082,12,4.620444
-0.222264,21,4.62333
-0.082307,13,4.625169
-0.098116,8,4.626291
-0.142837,8,4.627407
-0.36815,58,4.635304
-0.134036,21,4.63813
-0.09357,6,4.638986
-0.321155,36,4.643854
-0.110185,13,4.645619
-0.251921,42,4.651464
-0.086646,9,4.652726
-0.176395,14,4.654631
-0.21797,28,4.658466
-0.176574,25,4.661816
-0.113265,13,4.663569
-0.127194,15,4.665642
-0.126272,9,4.666878
-0.113465,11,4.668404
-0.137217,15,4.670429
-0.07633,6,4.671248
-0.076565,10,4.672611
-0.097594,10,4.673949
-0.319321,45,4.680009
-0.125416,11,4.68161
-0.190301,25,4.68508
-0.169653,27,4.688796
-0.087468,9,4.690047
-0.167474,24,4.693382
-0.125757,14,4.695302
-0.24258,39,4.700721
-0.130621,11,4.702275
-0.270491,37,4.707264
-0.153074,17,4.709598
-0.18202,18,4.712066
-0.167963,18,4.71453
-0.163662,12,4.716282
-0.210312,17,4.718632
-0.120905,16,4.720845
-0.102703,14,4.722782
-0.138884,20,4.725527
-0.115984,14,4.727462
-0.389822,58,4.735396
-0.314394,34,4.739979
-0.105002,7,4.740922
-0.118381,13,4.74273
-0.107557,12,4.744405
-0.14506,15,4.746458
-0.157451,23,4.749676
-0.132934,9,4.750925
-0.157536,11,4.752458
-0.11066,8,4.753577
-0.163874,32,4.757894
-0.186882,35,4.762622
-0.238425,38,4.767926
-0.33385,52,4.774863
-0.171973,31,4.779072
-0.133299,18,4.781602
-0.312443,34,4.786288
-0.322073,44,4.792287
-0.153965,14,4.794236
-0.089561,7,4.795269
-0.221721,42,4.801212
-0.215404,18,4.803756
-0.452829,39,4.8093
-0.214439,31,4.81366
-0.241827,38,4.819174
-0.096468,11,4.820739
-0.292725,36,4.825734
-0.158346,16,4.827971
-0.108944,16,4.830202
-0.108163,18,4.83278
-0.144784,20,4.835525
-0.126466,17,4.837939
-0.113934,10,4.839427
-0.205182,35,4.844323
-0.107197,8,4.845459
-0.157778,14,4.847432
-0.077184,9,4.848726
-0.153503,13,4.850752
-0.17272,12,4.852525
-0.105468,9,4.853809
-0.119486,10,4.855258
-0.370412,41,4.86096
-0.145854,20,4.86388
-0.107851,13,4.865765
-0.121999,10,4.867155
-0.089452,10,4.868563
-0.080504,6,4.869378
-0.094736,15,4.871395
-0.112035,11,4.872909
-0.276935,38,4.878107
-0.147028,17,4.880493
-0.167323,29,4.88471
-0.173042,26,4.8884
-0.185726,21,4.89129
-0.173214,22,4.89444
-0.141887,10,4.895855
-0.192092,18,5.282227
-0.098318,10,5.284666
-0.084422,17,5.287549
-0.110818,12,5.289455
-0.133658,11,5.291165
-0.090382,9,5.292551
-0.097485,9,5.293919
-0.088463,5,5.294758
-0.097578,8,5.295976
-0.192976,28,5.300291
-0.148776,15,5.302432
-0.096785,8,5.303552
-0.113091,8,5.304658
-0.133883,12,5.306331
-0.183359,31,5.310568
-0.092485,11,5.312163
-0.121591,14,5.31413
